"gene","num_of_experi","mean_rls","mean_rls_rela","std_mean_rls","std_mean_rls_rela","cv_mean_rls_rela"
"FOB1",161,32.3087606832298,1.25279091807497,5.43558321667776,0.226911642349231,0.181124910051154
"TOR1",102,31.9028217647059,1.2421208499312,3.92445050109255,0.175694875773871,0.141447489415866
"SIR2",67,14.2708811940299,0.570008009801869,3.83800522599346,0.178103224614421,0.312457406828947
"RPL20B",68,36.4453186764706,1.45902771725048,3.62704617018373,0.252963335029239,0.173378018826089
"SCH9",77,36.1232142857143,1.40375766913454,3.99044485502274,0.262451478681432,0.186963522588084
"GCN4",65,26.971282,1.05120317873584,3.90646412885073,0.140922380940235,0.13405817618408
"UBR2",60,37.1479166666667,1.40801493335807,3.84319862496124,0.174152102998345,0.123686261326077
"RPN4",45,15.1624824444444,0.58434181460875,2.26978028622031,0.131936561961039,0.225786617802422
"SGF73",42,41.1204388095238,1.60138091864698,4.57934577457235,0.184027217164837,0.114917828120697
"LOS1",38,31.6423921052632,1.23505056102999,3.53106968084985,0.163414835576452,0.132314287959327
"AFG3",34,25.7345588235294,1.022511063688,5.61188543475351,0.259308426050952,0.253599628658958
"GCN2",39,25.8317766666667,0.991885021107134,3.43950455695854,0.149467595204642,0.150690444985053
"HAP4",46,24.6948995652174,0.940658719410306,4.7709277164719,0.191172423668893,0.203232500506388
"YAP1",29,21.4063103448276,0.799578575101708,4.45994510786006,0.182762178712253,0.228573131401132
"ATG1",31,27.5013583870968,1.06205081496687,5.22046132077239,0.248318616923374,0.233810485735676
"PMR1",35,24.1080585714286,0.95990680035131,4.6722697887531,0.220737217478019,0.229956926440393
"PHB1",34,14.2125,0.54168692243335,2.54732665868761,0.0945396468151194,0.174528206053842
"SOD2",32,26.266886875,1.0158625349169,4.57927217140836,0.219430699050316,0.216004322935549
"ATG13",34,28.667025,1.07608422895587,2.96213699937531,0.148324858992126,0.137837592077756
"PNC1",33,28.2578133333333,1.04235661908319,3.81817264366711,0.14838506372723,0.142355371482883
"HXK2",25,33.1538332,1.302294586302,3.72480798052812,0.176660405810775,0.135653182980988
"PHB2",29,14.6448275862069,0.57328825380444,3.13927723789325,0.147346454569292,0.257019838783501
"HAC1",18,29.0206266666667,1.10289982001891,3.24163532461627,0.17140228578263,0.155410566464406
"GPR1",25,34.7298972,1.27034549790315,6.10864401086248,0.299446228060135,0.235720304873284
"HMO1",24,18.9110958333333,0.743552214231502,2.09655709337935,0.0970960998662882,0.130584104260441
"GPA2",22,32.1159090909091,1.15627245624693,4.41407748987034,0.192254820904514,0.166271210445107
"RPL31A",22,33.9461540909091,1.29425187162589,5.47263068161718,0.251340968557677,0.194197879151554
"SOK1",24,36.9235308333333,1.33937490092891,3.81053766299161,0.18589681445644,0.138793712146998
"UBP8",17,34.6338235294118,1.36845024814038,3.38556149765615,0.217967105312041,0.159280255609031
"IDH2",20,30.885,1.17080277919843,4.99807462929477,0.210025720734507,0.179386079761697
"RPL6B",17,33.4088235294118,1.20310395594638,4.34735858360128,0.146691330160924,0.121927394084191
"MUB1",16,33.084375,1.33470080907266,4.28077947536038,0.224264940292934,0.16802637622491
"ISW2",19,29.6408605263158,1.14922443215617,4.05900288626608,0.182706253415341,0.158982221664526
"MRPL49",9,21.6722222222222,0.933299109767442,6.36106865585056,0.37413788412504,0.400876718095517
"RIP1",18,20.6870915,0.8106197259607,5.73404717295225,0.182177264438011,0.224738257167508
"RTG2",16,25.390625,0.937065035093833,6.46213248471431,0.209870608979537,0.223965894702838
"RPL22A",14,36.3232142857143,1.33430107466583,3.31252669489554,0.158573237180401,0.11884367043631
"SPT4",17,36.9374870588235,1.4016505605193,6.44219597283485,0.256717832287517,0.183153946867046
"SIS2",11,37.3409090909091,1.53588822469311,2.0286162995769,0.171115645883042,0.111411522747518
"TIF1",14,30.1214285714286,1.18562398558363,4.12646078030903,0.222161240706728,0.187379171987118
"GLN3",20,22.27375,0.817864028472867,3.41135367289569,0.116442434424321,0.142373830331852
"ALG12",11,31.4681818181818,1.22501163734262,2.95393997292368,0.144986085308635,0.11835486365105
"RPL9A",11,33.2159090909091,1.32096880847205,2.41392503837818,0.159474913659837,0.12072572239181
"WHI5",17,24.7173076470588,0.984438424799415,4.11857852726449,0.154306338258322,0.156745545857541
"IDH1",11,33.125,1.25072400124101,3.48889309093873,0.137369745150306,0.109832181211845
"MAF1",8,29.1543275,1.13321223674153,2.38955754201932,0.177580281692567,0.156705227789621
"CYT1",13,24.1365384615385,0.966799745965905,5.93424573437075,0.225623839706584,0.233371844219062
"RPL19A",10,37.5675,1.52023668898257,3.74750009265436,0.277991408713704,0.182860610277569
"INP51",13,30.6961538461538,1.14506181020029,4.22767230766833,0.124763391814719,0.108957779137614
"PKH2",13,29.9538461538462,1.24788083326233,2.98171242314865,0.188614432675583,0.151147792039156
"INP53",9,31.9583333333333,1.25109886976538,4.18938390458549,0.186333936334724,0.1489362198606
"SOD1",10,2.5854948,0.112893596091501,1.14243394385903,0.0494981849616868,0.438449891538297
"SAM1",8,32.884375,1.35551561533563,3.84682005734235,0.288569117600175,0.212885129714072
"CAF20",12,28.39375,1.06752960017436,4.39335920607869,0.128782035185761,0.120635563795821
"IDP1",6,29.4958333333333,1.1485982145368,7.34279266809752,0.232380297420899,0.202316436226233
