"gene","eta","epsilon","xc","mean_rela","steepness_rela","skewness_rela","scaling","length","eta_rela","epsilon_rela","xc_rela","scaling_rela","hard_cluster","xc_epsilon_rela"
"AAC1",0.198016220596185,0.0636459282896505,0.139627397824195,0.964127841409832,0.783867187908586,0.461155123952396,0.216132812091414,0.219089489078004,0.903814333720429,0.29050197048472,0.637307606183166,0.986504706368926,"epsilon",0.29050197048472
"AAC3",0.0708519609293876,0.151007144470868,0.189994522857264,1.10279391016564,0.847034324082716,-1.56050915170437,0.152965675917284,0.184296190888401,0.384446149363399,0.819372032286382,1.03091942346391,0.829999118158178,"eta",0.819372032286382
"AAD3",0.137728048391919,0.129370661940512,0.188578158544402,1.05209311351827,0.799529835775293,1.81002164223198,0.200470164224707,0.207127929599821,0.664941945096515,0.624593033834024,0.910442927270801,0.967856747334956,"epsilon",0.624593033834024
"AAT1",0.190027236982809,0.101506544450229,0.1745323986785,1.00047680225592,0.769997171010302,0.269195725488413,0.230002828989698,0.23000332320133,0.826193440763772,0.441326425363759,0.758825551949634,0.99999785128482,"epsilon",0.441326425363759
"ABF2",0.227358643730235,0.0600407280502579,0.142240800130883,0.94409321763352,0.761925074306029,0.73543448915959,0.238074925693971,0.2445510960081,0.929697913611903,0.245514041974562,0.581640411565246,0.973518130076529,"epsilon",0.245514041974562
"ABP1",0.0050943991887445,0.149062776946752,0.161894089078939,1.13309084515261,0.917434412938798,-0.8720951849432,0.082565587061202,0.156621356239166,0.0325268488989789,0.951739791597306,1.03366547810837,0.527166850318429,"eta",0.951739791597306
"ACB1",0.0957140936238377,0.0670219875046073,0.115822691963217,1.01992403534887,0.869614970140484,1.51801485080462,0.130385029859516,0.131898533714556,0.725664576612915,0.50813292321847,0.878119632579621,0.988525241241006,"epsilon",0.50813292321847
"ACE2",0.916718090318388,0.268549090608054,0.143537028093963,0.114505467276627,0.562059085138444,4.31444805933836,0.437940914861556,0.987872872586732,0.927971721622413,0.271845799252349,0.145299088655115,0.443317077545427,"xc",0.145299088655115
"ACH1",0.0967204237056078,0.267235033164134,0.30960453793067,1.19225425581711,0.767306354890156,0.498406074454079,0.232693645109844,0.30184106969446,0.32043493552257,0.885350139510982,1.02572038405532,0.770914459537895,"eta",0.885350139510982
"ACO1",0.0224786559231098,0.0584053797091888,0.064761285290283,1.06198281100161,0.983647252321923,0.720149763109616,0.0163527476780774,0.0641036755286612,0.350660952554265,0.911108126445501,1.0102585344163,0.255098440818202,"scaling",0.911108126445501
"ACO2",0.0193949487343417,0.11870333680223,0.140975068252855,1.09717938187446,0.910763273343143,1.15645545024101,0.0892367266568574,0.131935687537272,0.147003051989725,0.899706053896119,1.0685135378025,0.676365343771359,"eta",0.899706053896119
"ACS1",0.090325169773684,0.0504045732320178,0.00239369105474968,0.925444406626903,0.942687861770932,-0.411113035567011,0.057312138229068,0.094038384139682,0.960513843363338,0.535999992908728,0.0254544043546533,0.609454732271219,"xc",0.0254544043546533
"ADA2",0.634913709795632,0.220313495281778,0.104414368140074,0.413494637708147,0.662415025809177,-1.28031786491773,0.337584974190823,0.676721622823238,0.938219924386062,0.325560005549468,0.154294416815683,0.498853535642087,"xc",0.154294416815683
