"para","eff","lifespan_rela","steepness_rela","skewness_rela"
"eta","X.1.8",1.84277109178996,0.618977461987876,2.42520898187434
"eta","X.1.7",1.79374035208063,0.634212021373432,2.33415993686053
"eta","X.1.6",1.74124864913804,0.651131960670193,2.22743411598902
"eta","X.1.5",1.69148569757195,0.667445888976506,2.15004968081314
"eta","X.1.4",1.64317751042247,0.683562709236731,2.04914707159189
"eta","X.1.3",1.59262431691589,0.703078710027633,1.94622876799075
"eta","X.1.2",1.54213413174605,0.71909862504607,1.88378199318598
"eta","X.1.1",1.49184564012588,0.737726021819265,1.78891169961172
"eta","X.1",1.44167684948509,0.757665382068097,1.72818673427836
"eta","X.0.9",1.39470855542131,0.777189583062767,1.64170986406222
"eta","X.0.8",1.3479761339578,0.797530396758897,1.57744303695016
"eta","X.0.7",1.30156889643982,0.819283978236407,1.46582662024748
"eta","X.0.6",1.25721686009471,0.843830219438698,1.35444944796855
"eta","X.0.5",1.21347562567446,0.866279405308991,1.32275972732454
"eta","X.0.4",1.17026650706041,0.888948057067395,1.2934809400688
"eta","X.0.3",1.12683437014121,0.914088513189708,1.22086395120741
"eta","X.0.2",1.08348775515079,0.943124624731867,1.12971275829582
"eta","X.0.1",1.04032032011802,0.969141092974591,1.05199207509468
"eta","X0",1,1,1
"eta","X0.1",0.962032981817896,1.03043477014667,0.952832071572532
"eta","X0.2",0.924545882087551,1.05833634363441,0.904322997888336
"eta","X0.3",0.887099648613353,1.09003397034402,0.799225129166967
"eta","X0.4",0.850976107246132,1.12019640024645,0.783135416835368
"eta","X0.5",0.816319144358675,1.15703621584581,0.683810001178528
"eta","X0.6",0.783417238568249,1.19125690281306,0.583286909688687
"eta","X0.7",0.751307209368567,1.22266756515673,0.558911752661759
"eta","X0.8",0.720169871367515,1.25574320718304,0.559095925234142
"eta","X0.9",0.689983565449334,1.29530953482613,0.496405688388461
"eta","X1",0.660836451273882,1.3335411828782,0.460541443718654
"eta","X1.1",0.632787116192017,1.37064377900966,0.42682853155498
"eta","X1.2",0.605805430627617,1.40625210650003,0.424994571417337
"eta","X1.3",0.579910304511936,1.44066978120387,0.419315528295346
"eta","X1.4",0.55516080816068,1.48353101375163,0.381477458270736
"eta","X1.5",0.531030324136655,1.52229550779613,0.360912670015238
"epsilon","X.1.8",1.20529691322678,2.63064169567689,0.101539242332764
"epsilon","X.1.7",1.19976358499307,2.49941037085952,0.0932109201478321
"epsilon","X.1.6",1.19373146552747,2.3723113227579,0.116733356527646
"epsilon","X.1.5",1.1872516376502,2.25302200432305,0.147674725678037
"epsilon","X.1.4",1.18042582118791,2.13931368464927,0.151392205895638
"epsilon","X.1.3",1.17313635847404,2.02954183989558,0.187415649351673
"epsilon","X.1.2",1.16477527107052,1.92339349848791,0.225829451965574
"epsilon","X.1.1",1.15603999736524,1.82622571626797,0.240433923987371
"epsilon","X.1",1.14701624504269,1.73189023215023,0.278381396309762
"epsilon","X.0.9",1.1365392143492,1.63905718206318,0.29615134402735
"epsilon","X.0.8",1.12603881558742,1.55310802796756,0.364784761438579
"epsilon","X.0.7",1.11444334976541,1.47067344799794,0.407460803105924
"epsilon","X.0.6",1.10192434370557,1.39435746752818,0.458910527495323
"epsilon","X.0.5",1.08738877366049,1.31517789775784,0.50790135281917
"epsilon","X.0.4",1.07251408799166,1.24559515682542,0.591307235884914
"epsilon","X.0.3",1.0561509789716,1.1778058147781,0.665776201082549
"epsilon","X.0.2",1.03936646454836,1.11826509036825,0.780432703990259
"epsilon","X.0.1",1.0205647917216,1.05722245593567,0.900241786810694
"epsilon","X0",1,1,1
"epsilon","X0.1",0.978907216248958,0.948236478527773,1.1012935467235
"epsilon","X0.2",0.955952082902922,0.896905754252037,1.23402146981314
"epsilon","X0.3",0.931869746758869,0.848203752152751,1.39266103633401
"epsilon","X0.4",0.905372400632118,0.805359815472631,1.54139365464531
"epsilon","X0.5",0.877946870374799,0.76757057252981,1.70558014001852
"epsilon","X0.6",0.849371363669444,0.730898301378166,1.85389345496668
"epsilon","X0.7",0.818416549228811,0.693721294934726,2.03225538005398
"epsilon","X0.8",0.785566357827986,0.663558132859582,2.23769323343146
"epsilon","X0.9",0.752095816658817,0.630898744768514,2.43758860832343
"epsilon","X1",0.720643474125141,0.604942649967348,2.60526517514296
"epsilon","X1.1",0.68359538943926,0.577914824455234,2.83915823053823
"epsilon","X1.2",0.648486817270214,0.555832977686975,2.98762068073566
"epsilon","X1.3",0.611792968722862,0.533829401596744,3.22999606622575
"epsilon","X1.4",0.577182704820841,0.514745800790115,3.48004324745649
"epsilon","X1.5",0.54202880825861,0.498249924201151,3.66624578844578
"X_c","X.1.8",0.0881044532590896,0.407450480711717,5.21804972514273
"X_c","X.1.7",0.105788656887025,0.408344772474893,5.36889858786905
"X_c","X.1.6",0.126307269739172,0.417961312531956,4.9914389253226
"X_c","X.1.5",0.149292606963618,0.42931994381133,4.75218558396164
"X_c","X.1.4",0.176448122721219,0.434067200331211,4.65277194867503
"X_c","X.1.3",0.208584194871411,0.447363791830089,4.28123657269456
"X_c","X.1.2",0.244852328483115,0.465250460347163,3.97649909601855
"X_c","X.1.1",0.285504519752203,0.480928915665234,3.7616726954801
"X_c","X.1",0.331052339903377,0.503534475542947,3.50974759623826
"X_c","X.0.9",0.383514693443823,0.527322547581913,3.21138739159919
"X_c","X.0.8",0.44019162113206,0.557678144125208,2.88763669691624
"X_c","X.0.7",0.499256587073936,0.592292217832094,2.60088176405104
"X_c","X.0.6",0.560806518598809,0.634555316785394,2.30584608698558
"X_c","X.0.5",0.627207534786565,0.68079231438731,2.08130141898341
"X_c","X.0.4",0.697769218815138,0.729810193417634,1.82451225186064
"X_c","X.0.3",0.769125565770096,0.788675571859122,1.61179037803974
"X_c","X.0.2",0.84367460756227,0.852203239234911,1.4021896810252
"X_c","X.0.1",0.920665110950214,0.922490037643104,1.17009134856147
"X_c","X0",1,1,1
"X_c","X0.1",1.08375238273493,1.08609902987081,0.806334759433261
"X_c","X0.2",1.16797851683205,1.17860362960317,0.68062725413591
"X_c","X0.3",1.2549694760645,1.28133051631721,0.573090206888374
"X_c","X0.4",1.34634984271879,1.39164384804724,0.47771558011447
"X_c","X0.5",1.43959200170093,1.51510734178785,0.422126781361759
"X_c","X0.6",1.53430549450901,1.6510267745079,0.320168695068016
"X_c","X0.7",1.63401440416646,1.78247249350005,0.310709683727425
"X_c","X0.8",1.73851101863862,1.93709263835598,0.230609194042772
"X_c","X0.9",1.84391348940503,2.10046865847694,0.164741147639595
"X_c","X1",1.95682487468084,2.2751510357261,0.0846285006276335
"X_c","X1.1",2.07391238267251,2.45444267975595,0.0632213869139802
"X_c","X1.2",2.19481445846657,2.63512513590857,0.0468988630063599
"X_c","X1.3",2.32153715227506,2.85157960606048,-0.0122543117379899
"X_c","X1.4",2.45395571056333,3.06516093046572,-0.047533907553312
"X_c","X1.5",2.59246256084382,3.31194962749329,-0.0508664104307095
